Date,Ticker,Full_Article_Sentiment,Summary_Sentiment,change_in_full_sentiment,change_in_summary_sentiment,rolling_avg_full_sentiment,rolling_avg_summary_sentiment,volatility_full_sentiment,volatility_summary_sentiment
2022-10-25,ADBE,0.9998,0.9044,,,0.9998,0.9044,,
2022-10-25,AMD,0.9999,0.8809,,,0.9999,0.8809,,
2022-10-25,MSFT,0.9544,0.8876,,,0.9544,0.8876,,
2022-10-25,NET,0.99895,0.9444,,,0.99895,0.9444,,
2022-10-25,WANSF,0.9423,0.8625,,,0.9423,0.8625,,
2022-10-26,AAPL,0.99805,0.8574999999999999,,,0.99805,0.8574999999999999,,
2022-10-26,ADSK,0.9997,0.9245,,,0.9997,0.9245,,
2022-10-26,CFLT,0.9998,0.899,,,0.9998,0.899,,
2022-10-26,DAVE,-0.8472,0.25,,,-0.8472,0.25,,
2022-10-26,DQ,0.9993,0.8934,,,0.9993,0.8934,,
2022-10-26,GDS,0.9993,0.9053,,,0.9993,0.9053,,
2022-10-26,HPQ,0.9987,0.6249,,,0.9987,0.6249,,
2022-10-26,MDB,0.9998,0.7351,,,0.9998,0.7351,,
2022-10-26,NVDA,-0.4391,-0.3612,,,-0.4391,-0.3612,,
2022-10-26,PKKFF,0.9993,0.9451,,,0.9993,0.9451,,
2022-10-26,SEMR,0.9995,0.8882,,,0.9995,0.8882,,
2022-10-26,SHOP,0.996,0.6597,,,0.996,0.6597,,
2022-10-26,SNOW,0.9994,0.9732,,,0.9994,0.9732,,
2022-10-26,SOBR,0.9955,0.3259,,,0.9955,0.3259,,
2022-10-26,TENB,0.999,0.9587,,,0.999,0.9587,,
2022-10-26,TOELF,0.9997,0.9638,,,0.9997,0.9638,,
2022-10-26,UCTT,0.9984,0.6003,,,0.9984,0.6003,,
2022-10-26,USER,0.9907,0.7827,,,0.9907,0.7827,,
2022-10-26,VECO,0.9927,0.9136,,,0.9927,0.9136,,
2022-10-27,AAPL,0.9978,-0.0026,-0.00024999999999997247,-0.8601,0.997925,0.42744999999999994,0.00017677669529657817,0.6081825424985494
2022-10-27,AVGO,0.9981,0.9716,,,0.9981,0.9716,,
2022-10-27,CORZQ,-0.9243,-0.7841,,,-0.9243,-0.7841,,
2022-10-27,DOX,0.9994,0.891,,,0.9994,0.891,,
2022-10-27,GTLB,0.9956,0.3947,,,0.9956,0.3947,,
2022-10-27,KLAC,0.9903,-0.16529999999999997,,,0.9903,-0.16529999999999997,,
2022-10-27,MRVL,0.9997,0.9349,,,0.9997,0.9349,,
2022-10-27,NET,0.9966,-0.5994,-0.0023499999999999632,-1.5438,0.9977750000000001,0.1725,0.0016617009357884,1.091631448795792
2022-10-27,S,0.9999,0.76715,,,0.9999,0.76715,,
2022-10-27,SHOP,0.9989,0.5423,0.0029000000000000137,-0.11739999999999995,0.99745,0.601,0.0020506096654410366,0.08301433611130064
2022-10-27,SPLK,0.9994,0.9786,,,0.9994,0.9786,,
2022-10-27,TEL,0.999,0.7264,,,0.999,0.7264,,
2022-10-27,TSM,0.75545,0.51315,,,0.75545,0.51315,,
2022-10-27,TXN,0.9987,0.5719,,,0.9987,0.5719,,
2022-10-27,UMC,0.9978,0.9474,,,0.9978,0.9474,,
2022-10-28,AAPL,0.9995,0.9517,0.0017000000000000348,0.9543,0.9984500000000001,0.6022,0.0009178779875343607,0.5258856244469894
2022-10-28,ADBE,0.9992,0.9577,-0.0006000000000000449,0.053300000000000014,0.9995,0.9310499999999999,0.00042426406871199957,0.03768879143724303
2022-10-28,AI,0.9984,0.1681,,,0.9984,0.1681,,
2022-10-28,AMD,0.9998,0.8402,-9.999999999998899e-05,-0.04070000000000007,0.99985,0.8605499999999999,7.071067811864696e-05,0.028779245994292494
2022-10-28,ARBK,-0.9259,0.4951,,,-0.9259,0.4951,,
2022-10-28,AVGO,0.9987,0.1769,0.0006000000000000449,-0.7947,0.9984,0.57425,0.00042426406871199957,0.5619377590089493
2022-10-28,CSIQ,0.9994,0.9592,,,0.9994,0.9592,,
2022-10-28,CYXTQ,0.9992,0.6369,,,0.9992,0.6369,,
2022-10-28,DOCN,0.9993,0.936,,,0.9993,0.936,,
2022-10-28,DOCU,0.9949,0.8271,,,0.9949,0.8271,,
2022-10-28,DQ,0.9951,0.9578,-0.0041999999999999815,0.06440000000000001,0.9972,0.9256,0.0029698484809834867,0.045537676708413674
2022-10-28,GOOG,0.9998,0.9422,,,0.9998,0.9422,,
2022-10-28,MBLY,0.9931,0.3373,,,0.9931,0.3373,,
2022-10-28,MSFT,0.9998666666666667,0.9318666666666666,0.045466666666666655,0.044266666666666676,0.9771333333333334,0.9097333333333333,0.03214978831794831,0.03130126018052451
2022-10-28,NVDA,0.9964,0.9437,1.4355,1.3049,0.27864999999999995,0.29125,1.015051784393289,0.9227036387703258
2022-10-28,PLTR,0.9998,0.9299,,,0.9998,0.9299,,
2022-10-28,SLNH,0.9939,-0.1531,,,0.9939,-0.1531,,
2022-10-28,SNPS,0.9995,0.9313,,,0.9995,0.9313,,
2022-10-28,TSM,0.9528,0.8555,0.19735000000000003,0.34235000000000004,0.854125,0.6843250000000001,0.13954752326716513,0.24207800653921455
2022-10-28,TWLO,0.9977,0.8591,,,0.9977,0.8591,,
